title,author,url,content
I replaced Animal Crossing's dialogue with a live LLM by hacking GameCube memory,,https://joshfonseca.com/blogs/animal-crossing-llm,"A bridge from 2001 to today, with no game code changes required.
Cookie: ""Oh my gosh, Josh :)! I just had the weirdest dream, like, everything we do is a game! Arfer!""
Animal Crossing. Infamous for… [+11656 chars]"
Is AI the end of software engineering or the next step in its evolution?,Sheon Han,https://www.theverge.com/ai-artificial-intelligence/767973/vibe-coding-ai-future-end-evolution,"<ul><li></li><li></li></ul>
With vibe-coding, anyone can become a coder. But can they grow into a software engineer?
The first time I used ChatGPT to code, back in early 2023, I was reminded of The… [+17446 chars]"
Ask HN: Do you still bookmark websites?,,https://news.ycombinator.com/item?id=44925438,"Another shot at a bookmark manager is welcome.The usual story is ""I bookmarked 20,000 web pages over 3 years and then I realized I never looked at any of them!""
I built an ""image sorter"" which used … [+433 chars]"
Building a Halloween Vending Computer That Talks,John Elliot V,https://hackaday.com/2025/09/01/building-a-halloween-vending-computer-that-talks/,"Our hacker from [Appalachian Forge Works] wrote in to let us know about their vending machine build: a Halloween vending computer that talks.
He starts by demonstrating the vending process: a backli… [+1858 chars]"
Ask HN: Who wants to be hired? (September 2025),,https://news.ycombinator.com/item?id=45093190,"Main tech skills:- Backend Programming: Zig, Rust, Haskell, Python, JS, TypeScript, Node, Vue, React, Elm, Scala, C, C++, SQL, Perl, PHP, Clojure, OCaml, Erlang, Elixir, Theorem provers (TLA+, Isabel… [+916 chars]"
GNU Artanis – A fast web application framework for Scheme,Artanis Dev Team,https://artanis.dev/index.html,"More seriously, Artanis is written using GNU Guile, one of the best implementations of Scheme language.
One day, the folks at GNU were discussing what language they would write the GNU website in - … [+514 chars]"
Как получать котировки с любых сайтов в Эксель на примере investing.com,empenoso,https://habr.com/ru/articles/944670/#post-content-body,"Excel: ,     .   Excel :   «»   .    ,  :   . 
  Excel       USD/RUB  investing.com.   : -  Excel, . Excel   ,   «»  , ,      Excel .
 :
1. Excel () &gt; 2. &gt; 3. - 
 ( ) (Excel Data Bridge) (i… [+1385 chars]"
The ABC Programming Language,,https://homepages.cwi.nl/~steven/abc/,"(Also
available in Japanese)
New: The Origins
of Python - An article by Lambert Meertens on the origins of ABC, and its
influence on Python.
New: Implementation for
the Raspberry Pi!.
The ABC … [+2344 chars]"
Left to Right Programming: Programs Should Be Valid as They Are Typed,,https://graic.net/p/left-to-right-programming,"2025-08-17Programs Should Be Valid as They Are Typed
I dont like Pythons list comprehensions:
text =""apple banana cherry\ndog emu fox""
words_on_lines =[line.split()for line in text.splitlines()]
… [+6344 chars]"
"[Перевод] Python и множества: генераторы, которые делают код чище",python_leader,https://habr.com/ru/articles/943720/#post-content-body,"Python for Devs Python. , . , , .
Python . , «». , , Python-.
 , :
<ul><li> Python , .
</li><li>Python : , , .
</li><li> : { for in _ [if ]}.
</li><li> .
</li><li> , Python:  for, , .
</li></… [+4140 chars]"
Lessons from building an AI data analyst,,https://www.pedronasc.com/articles/lessons-building-ai-data-analyst,"TL;DR
<ul><li>Text-to-SQL is not enough. Answering real user questions requires going the extra mile like multi-step plans, external tools (coding) and external context.</li><li>Context is the produ… [+20232 chars]"
Anzeige: Python von den Basics bis zu fortgeschrittenen Techniken,Golem Karrierewelt,https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fanzeige-python-von-den-basics-bis-zu-fortgeschrittenen-techniken-2508-198803.html&referer=https%3A%2F%2Ft.co%2F73ec3a0e1b,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
Анализ лиц с домофона: как я победил несовместимости и собрал dlib+CUDA на Ubuntu — готовый скрипт,empenoso,https://habr.com/ru/articles/935098/#post-content-body,". , ? , , , - - ? 
, . , , , .
 - « » : , .
 , , . , , .
 GitHub.
 1: dlib CUDA- Ubuntu
dlib - Python , . . « » pip CPU, .
 NVIDIA GeForce RTX 5060 Ti 16 CUDA- - NVIDIA, . : CPU , GPU - . CUDA… [+3762 chars]"
One of the most in-demand skills in Silicon Valley is a software program released 40 years ago,Lakshmi Varanasi,https://www.businessinsider.com/excel-most-in-demand-skill-tech-job-listings-ai-2025-8,"Excel still remains a valuable skill in Silicon Valley.Shutterstock
<ul><li>Tech firms are offering millions for AI pros amid the Silicon Valley talent wars.</li><li>Excel, however, is still the top… [+3335 chars]"
Eric Idle Makes Cryptic Accusation Following the Death of Monty Python’s Production Company,JM McNab,https://www.cracked.com/article_47853_eric-idle-makes-cryptic-accusation-following-the-death-of-monty-pythons-production-company.html,"Anyone holding their breath that the four surviving members of Monty Python are going to reunite for a new project is probably going to die of oxygen deprivation at this point.
As author and podcast… [+2079 chars]"
Новые темы и фокус на практике: как изменился курс по Data Science в Яндекс Практикуме,ira-k (Яндекс Практикум),https://habr.com/ru/companies/yandex_praktikum/articles/938956/#post-content-body,"« Data Science» . 2019 , , .
 , , , .
« Data Science» . 13 .
 17 , , . Data Science, .
 :
:
- . .
 . . : , .
 , - . 17 , 22. .
.
- . , , - . .
 , JMF-, , Data Science.
 .
<ul><li> Git. ,… [+716 chars]"
heise+ | IT-Sicherheit: Mit KI Schwachstellen finden und ausnutzen,", Marius Schwarz",https://www.heise.de/ratgeber/IT-Sicherheit-Mit-KI-Schwachstellen-finden-und-ausnutzen-10517021.html?wt_mc=rss.red.ho.ho.atom.beitrag_plus.beitrag_plus,"Inhaltsverzeichnis
In der Cybersecurity ist generative KI in den letzten Jahren zum Dauerthema geworden. Auch KI-Agenten werden von Angreifern und Verteidigern zunehmend genutzt. Dazu ist mitunter e… [+1935 chars]"
"Heimkino-Test: ""Die Ritter der Kokosnuss"" auf UHD, Blu-ray und im Stream",Timo Wolters,https://www.heise.de/tests/Heimkino-Test-Die-Ritter-der-Kokosnuss-auf-UHD-Blu-ray-und-im-Stream-10549937.html?wt_mc=rss.red.ho.ho.atom.beitrag.beitrag,"Inhaltsverzeichnis
close notice
This article is also available in
 English.
It was translated with technical assistance and editorially reviewed before publication.
Dont show this again.
Englan… [+4213 chars]"
[Перевод] Осваиваем LLM: подробное знакомство с книгой Себастьяна Рашки «Создание  LLM с нуля»,ph_piter (Издательский дом «Питер»),https://habr.com/ru/companies/piter/articles/946344/#post-content-body,"«  LLM », , , .
 , : (LLM). , , . , LLM. , ; .
1. : , LLM . . , , , .
2. : , . , , , . , , , .
3. : . , LLM, , , , . , , , .
4. : LLM. , Python PyTorch, , . , , .
5. : LLM, (transformer block).… [+378 chars]"
"Программирование для детей в Химках: где и чему учат, как выбрать",zubkovase (Пиксель),https://habr.com/ru/companies/pixel_study/articles/939438/#post-content-body,"Pixel , IT- . : , , .
, . 
 : , .
 : 
 , . 2, Language Link. « » ( 1, 3, 4 ., 1 203). , « ». Yoga Fresh, «» . .
: .
: , Scratch, Python, Lua, C#, JavaScript . . : , , . .
 .
: IT-.
 :
<ul><… [+681 chars]"
Las matemáticas son bellas y estas imágenes lo demuestran,alvy@microsiervos.com (Alvy),https://www.microsiervos.com/archivo/matematicas/matematicas-bellas-imagenes-demuestran.html,"Por @Alvy22 de agosto de 2025
Las matemáticas son bellas (MathIsBeautiful&amp;ast;) es un proyecto matemático-científico personal de Raimon Luna, un investigador de la Universidad de Barcelona.
Es … [+966 chars]"
XTools-py — универсальные утилиты для Python-разработчиков,Zagir-vip,https://habr.com/ru/articles/936580/#post-content-body,"- Python « »«- , » .
XTools-py Python, ., .
 :
pip install xtools-py
<ul><li>Find .
</li><li>Matrix .
</li><li>Config JSON, YAML, INI.
</li><li>Validator , .
</li><li>Cache TTL.
</li><li>Dat… [+10252 chars]"
"Python: Генераторы. Методы send, throw и close",Pavel_K,https://habr.com/ru/articles/936984/#post-content-body,"Python: , . , - .
 . , send, throwclose. , , close Python 3.13. , , CPython .
 , , Python 3.10.
, , (generator comprehension).
 :
&gt;&gt;&gt; gen = (i for i in range(10))
, .
&gt;&gt;&gt; gen… [+9233 chars]"
Как НЕ нужно писать автотесты на Python,sound_right,https://habr.com/ru/articles/942532/#post-content-body,", Python. , . , , .
 : . «», «». , , .
. ; , . . , .
. : « . ? ?»
 , . «», « ». - 3500 , : UI-, API-, , , , . , .
: , «» « ». , , .
 : . , - . , , . , , : , « ».
«» .
 1. « »
. « N , ». time… [+20444 chars]"
Trey Parker and Matt Stone Remade a Classic Monty Python Sketch Using ‘South Park’ Characters,JM McNab,https://www.cracked.com/article_48088_trey-parker-and-matt-stone-remade-a-classic-monty-python-sketch-using-south-park-characters.html,"Trey Parker and Matt Stone are clearly big fans of Monty Pythons Flying Circus, and famously credited Terry Gilliams cut-and-paste animations as the primary influence on South Parks construction pape… [+2249 chars]"
"Телекоммуникации, сетевая безопасность и протоколы с нуля — что нужно знать админам","randall (MWS, МТС)",https://habr.com/ru/companies/mws/articles/944288/#post-content-body,", , , , .
 Rust 
, -, . -, . , , . 
 , Network Status API , Actix Web ( Rust). : , . 
Village Telco, Wi-Fi mesh- -. , Mozilla Corporation (APC). 2008 -. 
, , . , . , .
, 2009 . AfTerFibre. , , … [+610 chars]"
DeepCode: Open Agentic Coding,HKUDS,https://github.com/HKUDS/DeepCode,"<table><tr><td>Automated Implementation of Complex Algorithms
Effortlessly converts complex algorithms from research papers into high-quality, production-ready code, accelerating algorithm reproduct… [+17094 chars]"
"Скрытая грамматика: почему len() — это полисемия, а хороший код — набор идиом. Как филология объясняет «чистый код»",art_lak,https://habr.com/ru/articles/941110/#post-content-body,"(https://habr.com/ru/articles/940782/) : . , c , !
 ,   , , , . , ,    «» ()   «» ( ). 
 : « , ». , . ,  +  , ?  if not my_list  , , « » «»? , - , . 
 . :)
 1. - + : 
  «»  , . , «» , (« »), , (… [+1821 chars]"
John Cleese Threatens to Leak Emails That Will Damage Eric Idle’s Credibility,JM McNab,https://www.cracked.com/article_47878_john-cleese-threatens-to-leak-emails-that-will-damage-eric-idles-credibility.html,"Monty Python may be over, but Monty Python Twitter feuds seem to be never-ending.
Weve talked before about how ex-Pythons John Cleese and Eric Idle have been dunking on each other on social media si… [+2185 chars]"
Парсинг данных в Python: от простых строк до датасетов,mk-samoilov,https://habr.com/ru/articles/940144/#post-content-body,"Python. , HTML BeautifulSoup, pandas , , , (, IMDb) CSV-.
 Python, . : beautifulsoup4requestspandas python python ( 3&gt; ).
 pip: pip install beautifulsoup4 requests pandas
1. 
 (regex) . Python… [+2762 chars]"
Llama-Scan: Convert PDFs to Text W Local LLMs,ngafar,https://github.com/ngafar/llama-scan,"A tool for converting PDFs to text files using Ollama.
<ul><li>Convert PDFs to text files locally, no token costs.</li><li>Use the latest multimodal models supported by Ollama.</li><li>Turn images a… [+898 chars]"
Piramidal (YC W24) Is Hiring Back End Engineer,,https://www.ycombinator.com/companies/piramidal/jobs/1HvdaXs-full-stack-engineer-platform,"We are looking for a software engineer to help us enable interactions and automations with Piramidals newest technologies. We value proactive, customer-centric engineers who prioritize foundational d… [+1315 chars]"
Ask HN: Who is hiring? (September 2025),,https://news.ycombinator.com/item?id=45093192,"Revere Defense Technologies - Autonomous Networks and InfrastructureSan Francisco (Dogpatch) | On-site w/ flexibility | Full-time | Multiple Roles, $120k220k + equity + benefits
Why: Comms are conte… [+1269 chars]"
"Shell to pay: Crims invade your PC with CastleRAT malware, now in C and Python",Iain Thomson,https://www.theregister.com/2025/09/05/clickfix_castlerat_malware/,A team of data thieves has doubled down by developing its CastleRAT malware in both Python and C variants. Both versions spread by tricking users into pasting malicious commands through a technique c… [+3198 chars]
Astrophysics Source Code Library,,http://ascl.net/,"The Astrophysics Source Code Library (ASCL) is a free online registry and repository for source codes of interest to astronomers and astrophysicists, including solar system astronomers, and lists cod… [+5583 chars]"
Setting serial baud rate on ESP-IDF does nothing,Chris Greening,https://atomic14.substack.com/p/this-number-does-nothing,"What are we talking about? This line of code that appears in pretty much every single Arduino sketch/project:
Serial.begin(115200);
This line of code is everywhere - a quick search on GitHub finds … [+2266 chars]"
DINOv3,facebookresearch,https://github.com/facebookresearch/dinov3,"[2025-08-14] DINOv3 backbones are now available in Hugging Face Hub and supported by the Hugging Face Transformers library
Meta AI Research, FAIR
Oriane Siméoni, Huy V. Vo, Maximilian Seitzer, Fede… [+20339 chars]"
Why Nim?,Basil Ajith,https://undefined.pyfy.ch/why-nim,"You might have heard of the line, ""one ring to rule them all"" from the book the Lord of the Rings. Though, this ring is an evil object created by the evil Sauron, the idea of just one thing existing … [+2384 chars]"
Launch HN: Dedalus Labs (YC S25) – Vercel for Agents,,https://news.ycombinator.com/item?id=45054040,"Hey HN! We are Windsor and Cathy of Dedalus Labs (https://www.dedaluslabs.ai/), a cloud platform for developers to build agentic AI applications. Our SDK allows you to connect any LLM to any MCP tool… [+3510 chars]"
Tencent Open Sourced a 3D World Model,Tencent-Hunyuan,https://github.com/Tencent-Hunyuan/HunyuanWorld-Voyager,"We introduce HunyuanWorld-Voyager, a novel video diffusion framework that generates world-consistent 3D point-cloud sequences from a single image with user-defined camera path. Voyager can generate 3… [+8325 chars]"
heise+ | OSINT-Tool: Mit theHarvester mehr Informationen zu einer Domain herausfinden,Wilhelm Drehling,https://www.heise.de/ratgeber/OSINT-Tool-Mit-theHarvester-mehr-Informationen-zu-einer-Domain-herausfinden-10512119.html?wt_mc=rss.red.ho.ho.atom.beitrag_plus.beitrag_plus,"Inhaltsverzeichnis
Mit einem einfachen Befehl in der Kommandozeile läuft das Open-Source-Tool theHarvester los und trägt fleißig alle öffentlichen Informationen zu einer Domain zusammen. Dazu befrag… [+1111 chars]"
"Desarrollo web, inteligencia artificial, ciberseguridad y más: cinco cursos con titulación para estudiar online o presencial",Alberto García,https://www.xataka.com/seleccion/desarrollo-web-inteligencia-artificial-ciberseguridad-cinco-cursos-titulacion-para-estudiar-online-presencial,Seguir formándose tras la universidad es útil tanto para adquirir nuevos conocimientos como para acceder a determinados puestos de trabajo. Si no has encontrado ese curso o máster que tanto tiempo ll… [+5108 chars]
"Bus Factor: что такое, как рассчитать и как использовать результат",kbeklemishev (Контур),https://habr.com/ru/companies/skbkontur/articles/928642/#post-content-body,". , . , , - Bus Factor . . - , .
 Bus Factor?
 , , , - .
Bus Factor (-, BF, ) , . : , .
Bus Factor , ( ) - .
Bus Factor Python. 1994 Python .
 , Python . , Python, . .
// Michael Mc Lay
 , . … [+2214 chars]"
"Freitag: Datenschutz von Tech-Konzernen, Space Force mit Laser und Quantensensor",Frank Schräer,https://www.heise.de/news/Freitag-Datenschutz-von-Tech-Konzernen-Space-Force-mit-Laser-und-Quantensensor-10574180.html,"Keine Hintertüren für ausländische Spione, keine Zensur von Amerikanern darauf pocht der Chef der US-Handelsbehörde. Er lädt US-Konzerne vor, denn er befürchtet Überreaktionen von Google, Amazon, App… [+7077 chars]"
Обработка результатов моделирования Fire Dynamics Simulator на Python (часть 1),Roman_Mironenko,https://habr.com/ru/articles/942348/#post-content-body,", 15 , - .
 Fire Dynamics Simulator (FDS), . . , ., FDS . FDS .
 FDS
 FDS (DEVC). , .csv, . decv.csv. (ID), CSV-. (x, y, z) ( FDS).
 FDS:
&amp;DEVC ID = 'Temp_1m',XYZ = 0.1, 0.1, 1.3,QUANTITY = … [+2427 chars]"
Website Is Served from Nine Neovim Buffers on My Old ThinkPad,,https://vim.gabornyeki.com/,"August 18, 2025
TL;DR:
I wrote a Neovim plugin in Lua that serves HTTP requests from open buffers.
It has no external dependencies, it has first-class support for serving content in Djot, and it i… [+10743 chars]"
John Cleese Blames Eric Idle for ‘Monty Python and the Holy Grail’s Worst Scene,JM McNab,https://www.cracked.com/article_48235_john-cleese-blames-eric-idle-for-monty-python-and-the-holy-grails-worst-scene.html,"John Cleese recently embarked on a live tour celebrating the 50th anniversary of Monty Python and the Holy Grail. Each event will be part film screening, part live Q&amp;A and, presumably, part creep… [+2423 chars]"
Python Morsels: Python REPL Shortcuts & Features,Trey Hunner,https://www.pythonmorsels.com/repl-features/,"Python 3.13 introduced a completely redesigned REPL with a much more modern feel.
It's easy to overlook many of the features in the new Python REPL.
Let's explore the various hidden features the ne… [+10158 chars]"
